iter	RMSE
0	1.543794644
1	1.527021046
2	1.511037267
3	1.493553022
4	1.483001049
5	1.468595494
6	1.441242545
7	1.431694695
8	1.431036986
9	1.412148742
10	1.406637543
11	1.388351593
12	1.370267565
13	1.357672401
14	1.345640783
15	1.328995227
16	1.320843533
17	1.307416857
18	1.291085948
19	1.290508269
20	1.290398992
21	1.282284181
22	1.275801413
23	1.267373918
24	1.260440677
25	1.25349949
26	1.245271488
27	1.241308661
28	1.234700828
29	1.227806343
30	1.217744597
31	1.212698224
32	1.207711338
33	1.197125012
34	1.1954922
35	1.194295537
36	1.190675737
37	1.187335402
38	1.183916443
39	1.175769689
40	1.174201938
41	1.173981104
42	1.169069376
43	1.162190818
44	1.151907109
45	1.151897468
46	1.147437552
47	1.146433028
48	1.142254168
49	1.140479054
50	1.134621891
51	1.127749772
52	1.121476584
53	1.117350522
54	1.115260158
55	1.109061672
56	1.096374354
57	1.086523182
58	1.078051598
59	1.072778396
60	1.066967305
61	1.064402304
62	1.0622455
63	1.059903288
64	1.057520823
65	1.053029201
66	1.052301143
67	1.047961106
68	1.042838949
69	1.041302236
70	1.028172803
71	1.026308076
72	1.023560001
73	1.023157556
74	1.020240007
75	1.018639852
76	1.009561758
77	1.006547255
78	1.004549588
79	1.003645468
80	1.001738752
81	0.9980144646
82	0.9947804275
83	0.9940018169
84	0.9913495731
85	0.9819210092
86	0.9812589176
87	0.97703974
88	0.9756155807
89	0.9712472739
90	0.9690003776
91	0.9592706513
92	0.9564280341
93	0.9553965701
94	0.9483561312
95	0.9477860983
96	0.9461667608
97	0.9437868193
98	0.9408865651
99	0.9386857974
100	0.9369256149
101	0.9335388914
102	0.929795272
103	0.9292827513
104	0.9195985354
105	0.9182179567
106	0.9167614661
107	0.915730553
108	0.914115927
109	0.9138059903
110	0.9102961064
111	0.9018745346
112	0.9005412407
113	0.899204305
114	0.8967215958
115	0.8967097701
116	0.887637584
117	0.8847444419
118	0.8822964557
119	0.8807670575
120	0.8797185973
121	0.8783438192
122	0.8781861869
123	0.8702687559
124	0.866785261
125	0.8667825136
126	0.8604929947
127	0.8587098995
128	0.8571707011
129	0.8571654337
130	0.8560261735
131	0.8530694872
132	0.8473950876
133	0.845017056
134	0.8430886512
135	0.8415998675
136	0.8414048691
137	0.8405031568
138	0.8386321074
139	0.8367217199
140	0.8356194344
141	0.834581568
142	0.8339843835
143	0.8305400938
144	0.8297091753
145	0.8255565509
146	0.8227140822
147	0.8195316206
148	0.8190046358
149	0.8185356555
150	0.8181126631
151	0.8145121179
152	0.8140606102
153	0.8129881189
154	0.8121905199
155	0.8098576677
156	0.8076451859
157	0.8041810046
158	0.8000075504
159	0.7993114316
160	0.7978737404
161	0.7973801191
162	0.7922537939
163	0.7911808698
164	0.7874620766
165	0.7820725852
166	0.7811256286
167	0.776195754
168	0.7731653869
169	0.7731628384
170	0.7725398293
171	0.7712403263
172	0.7683305414
173	0.767508085
174	0.7665640559
175	0.7661374506
176	0.7655395047
177	0.7615836029
178	0.7604587346
179	0.7559993798
180	0.7555708434
181	0.7527964295
182	0.7514525697
183	0.7511250753
