iter	Passed	Remaining
0	0	532
1	1	670
2	2	686
3	2	711
4	3	723
5	4	728
6	5	732
7	5	729
8	6	680
9	6	688
10	7	689
11	8	695
12	9	699
13	9	699
14	10	699
15	11	698
16	12	700
17	12	697
18	13	699
19	13	675
20	14	656
21	14	658
22	15	661
23	16	664
24	17	667
25	17	668
26	18	670
27	19	670
28	20	671
29	20	672
30	21	673
31	22	667
32	22	662
33	23	663
34	23	656
35	24	647
36	24	648
37	25	643
38	26	644
39	26	645
40	27	640
41	27	630
42	28	632
43	29	635
44	29	635
45	30	625
46	30	627
47	31	623
48	32	623
49	32	623
50	33	624
51	34	625
52	35	626
53	35	626
54	36	623
55	36	623
56	37	624
57	38	624
58	39	624
59	39	623
60	40	624
61	41	624
62	42	625
63	42	624
64	43	624
65	44	625
66	44	626
67	45	627
68	46	627
69	47	627
70	48	628
71	48	626
72	49	626
73	50	626
74	50	627
75	51	627
76	52	627
77	53	627
78	53	626
79	54	627
80	55	628
81	56	629
82	56	629
83	57	629
84	58	625
85	58	625
86	59	625
87	60	624
88	61	624
89	61	624
90	62	623
91	63	624
92	63	623
93	64	623
94	65	623
95	65	619
96	66	619
97	67	617
98	67	617
99	68	618
100	69	618
101	70	618
102	70	617
103	71	614
104	72	614
105	72	614
106	73	614
107	74	614
108	75	614
109	75	613
110	76	614
111	77	614
112	78	613
113	78	613
114	79	613
115	79	609
116	80	608
117	81	606
118	81	606
119	82	605
120	83	605
121	83	604
122	84	602
123	85	602
124	86	602
125	86	598
126	86	597
127	87	596
128	88	596
129	88	593
130	89	592
131	90	592
132	90	592
133	91	592
134	92	591
135	93	591
136	93	588
137	94	588
138	94	588
139	95	587
140	96	587
141	97	587
142	97	586
143	98	586
144	99	585
145	99	584
146	100	584
147	101	584
148	102	583
149	102	582
150	103	581
151	104	581
152	104	580
153	105	579
154	106	579
155	107	579
156	107	579
157	108	578
158	109	577
159	109	577
160	110	576
161	111	575
162	112	575
163	112	575
164	113	575
165	114	574
166	115	574
167	115	573
168	116	573
169	116	569
170	117	567
171	117	566
172	118	566
173	119	566
174	119	565
175	120	564
176	120	562
177	121	561
178	122	561
179	123	560
180	123	559
181	124	559
182	125	558
183	125	557
184	126	556
185	127	556
186	127	555
187	128	554
188	129	554
189	129	553
190	130	552
191	131	551
192	131	551
193	132	550
194	132	548
195	133	547
196	134	547
197	135	546
198	135	546
199	136	546
200	137	545
201	137	544
202	138	543
203	138	542
204	139	541
205	140	540
206	140	538
207	141	538
208	142	537
209	142	537
210	143	537
211	144	536
212	144	535
213	145	534
214	146	534
215	146	533
216	147	532
217	148	531
218	149	531
219	149	530
220	150	529
221	150	528
222	151	527
223	152	527
224	152	526
225	153	525
226	154	524
227	154	524
228	155	523
229	156	523
230	156	522
231	157	522
232	158	521
233	159	521
234	159	520
235	160	520
236	161	519
237	162	519
238	162	518
239	163	518
240	164	517
241	165	516
242	165	516
243	166	515
244	167	514
245	167	514
246	168	513
247	169	513
248	170	512
249	170	512
250	171	511
251	172	511
252	172	510
253	173	509
254	174	509
255	174	508
256	175	507
257	176	507
258	176	506
259	177	505
260	178	505
261	179	504
262	179	504
263	180	503
264	181	503
265	182	502
266	182	501
267	183	501
268	184	500
269	185	500
270	185	499
271	186	498
272	187	498
273	187	497
274	188	496
275	189	496
276	189	495
277	190	495
278	191	494
279	192	493
280	192	493
281	193	492
282	194	492
283	195	491
284	195	491
285	196	490
286	197	490
287	198	489
288	198	489
289	199	488
290	200	487
291	200	487
292	201	486
293	202	485
294	202	484
295	203	484
296	204	483
297	204	482
298	205	482
299	206	481
300	206	480
301	207	479
302	208	479
303	209	478
304	209	477
305	210	477
306	211	476
307	211	475
308	212	474
309	213	474
310	213	473
311	214	473
312	215	472
313	216	472
314	216	471
315	217	470
316	218	470
317	218	469
318	219	468
319	220	467
320	220	467
321	221	466
322	222	465
323	222	465
324	223	464
325	224	463
326	224	462
327	225	462
328	226	461
329	227	461
330	227	460
331	228	459
332	229	458
333	229	458
334	230	457
335	231	456
336	231	456
337	232	455
338	233	454
339	234	454
340	234	453
341	235	452
342	236	452
343	236	451
344	237	450
345	238	450
346	238	449
347	239	448
348	240	448
349	240	447
350	241	446
351	242	446
352	243	445
353	243	444
354	244	444
355	245	443
356	246	443
357	246	442
358	247	441
359	248	441
360	248	440
361	249	439
362	250	439
363	250	438
364	251	437
365	252	437
366	253	436
367	253	435
368	254	435
369	255	434
370	255	433
371	256	433
372	257	432
373	257	431
374	258	430
375	259	430
376	259	429
377	260	428
378	261	428
379	261	427
380	262	426
381	263	425
382	263	425
383	264	424
384	265	423
385	266	423
386	266	422
387	267	422
388	268	421
389	269	420
390	269	420
391	270	419
392	271	418
393	271	417
394	272	416
395	273	416
396	273	415
397	274	415
398	275	414
399	276	414
400	276	413
401	277	412
402	278	412
403	278	411
404	279	410
405	280	410
406	280	409
407	281	408
408	282	408
409	283	407
410	283	406
411	284	406
412	285	405
413	286	404
414	286	404
415	287	403
416	288	402
417	288	402
418	289	401
419	290	400
420	291	400
421	291	399
422	292	399
423	293	398
424	294	398
425	295	397
426	295	397
427	296	396
428	297	395
429	298	395
430	299	394
431	299	394
432	300	393
433	301	392
434	302	392
435	302	391
436	303	391
437	304	390
438	305	389
439	305	389
440	306	388
441	307	387
442	307	386
443	308	386
444	309	385
445	309	384
446	310	384
447	311	383
448	312	382
449	312	382
450	313	381
451	314	380
452	314	380
453	315	379
454	316	378
455	317	378
456	317	377
457	318	376
458	319	376
459	319	375
460	320	374
461	321	374
462	321	372
463	322	372
464	322	371
465	323	370
466	324	370
467	325	369
468	325	368
469	326	368
470	327	367
471	328	366
472	328	366
473	329	365
474	330	364
475	330	364
476	331	363
477	332	363
478	333	362
479	333	361
480	334	361
481	335	360
482	336	359
483	337	359
484	337	358
485	338	358
486	339	357
487	340	356
488	340	356
489	341	355
490	342	354
491	343	354
492	343	353
493	344	353
494	345	352
495	346	351
496	346	351
497	347	350
498	348	349
499	349	349
500	349	348
501	350	347
502	350	346
503	351	346
504	352	345
505	353	344
506	353	344
507	354	343
508	355	342
509	356	342
510	356	341
511	357	340
512	358	340
513	359	339
514	360	339
515	360	338
516	361	337
517	362	337
518	362	336
519	363	335
520	364	335
521	365	334
522	365	333
523	366	333
524	367	332
525	368	331
526	368	331
527	369	330
528	370	329
529	371	329
530	371	328
531	372	327
532	373	326
533	373	326
534	374	325
535	375	324
536	375	324
537	376	323
538	377	322
539	378	322
540	378	321
541	379	320
542	380	320
543	381	319
544	381	318
545	382	318
546	383	317
547	383	316
548	384	315
549	385	315
550	385	314
551	386	313
552	387	313
553	388	312
554	388	311
555	389	310
556	390	310
557	390	309
558	391	308
559	392	308
560	392	307
561	393	306
562	394	306
563	395	305
564	395	304
565	396	304
566	397	303
567	398	302
568	398	302
569	399	301
570	400	300
571	400	299
572	401	299
573	402	298
574	402	297
575	403	297
576	404	296
577	404	295
578	405	295
579	406	294
580	407	293
581	407	292
582	408	292
583	409	291
584	410	290
585	410	290
586	411	289
587	412	288
588	412	288
589	413	287
590	414	286
591	415	286
592	415	285
593	416	284
594	417	284
595	417	283
596	418	282
597	419	281
598	420	281
599	420	280
600	421	279
601	422	279
602	423	278
603	423	277
604	424	277
605	425	276
606	426	275
607	426	275
608	427	274
609	428	273
610	428	273
611	429	272
612	430	271
613	431	271
614	431	270
615	432	269
616	433	268
617	433	268
618	434	267
619	435	266
620	436	266
621	436	265
622	437	264
623	438	264
624	438	263
625	439	262
626	440	261
627	441	261
628	441	260
629	442	259
630	443	259
631	444	258
632	444	257
633	445	257
634	446	256
635	446	255
636	447	255
637	448	254
638	449	253
639	449	252
640	450	252
641	451	251
642	451	250
643	452	250
644	453	249
645	454	248
646	455	248
647	455	247
648	456	246
649	457	246
650	458	245
651	458	244
652	459	244
653	460	243
654	460	242
655	461	242
656	462	241
657	463	240
658	463	240
659	464	239
660	465	238
661	465	237
662	466	237
663	467	236
664	468	235
665	468	235
666	469	234
667	470	233
668	470	232
669	471	232
670	472	231
671	473	230
672	473	230
673	474	229
674	475	228
675	475	228
676	476	227
677	477	226
678	478	225
679	478	225
680	479	224
681	480	223
682	480	223
683	481	222
684	482	221
685	483	221
686	483	220
687	484	219
688	485	219
689	486	218
690	486	217
691	487	217
692	488	216
693	488	215
694	489	214
695	490	214
696	491	213
697	492	212
698	492	212
699	493	211
700	494	210
701	495	210
702	495	209
703	496	208
704	497	208
705	498	207
706	498	206
707	499	205
708	500	205
709	500	204
710	501	203
711	502	203
712	502	202
713	503	201
714	504	200
715	504	200
716	505	199
717	506	198
718	507	198
719	507	197
720	508	196
721	509	196
722	509	195
723	510	194
724	511	193
725	512	193
726	512	192
727	513	191
728	514	191
729	514	190
730	515	189
731	516	188
732	516	188
733	517	187
734	518	186
735	518	186
736	519	185
737	520	184
738	521	184
739	521	183
740	522	182
741	523	182
742	524	181
743	524	180
744	525	179
745	526	179
746	527	178
747	527	177
748	528	177
749	529	176
750	529	175
751	530	174
752	531	174
753	531	173
754	532	172
755	533	172
756	533	171
757	534	170
758	535	170
759	536	169
760	536	168
761	537	167
762	538	167
763	539	166
764	539	165
765	540	165
766	541	164
767	542	163
768	542	163
769	543	162
770	544	161
771	545	160
772	545	160
773	546	159
774	547	158
775	547	158
776	548	157
777	549	156
778	550	156
779	550	155
780	551	154
781	552	153
782	553	153
783	553	152
784	554	151
785	555	151
786	555	150
787	556	149
788	557	149
789	558	148
790	558	147
791	559	146
792	560	146
793	560	145
794	561	144
795	562	144
796	562	143
797	563	142
798	564	141
799	564	141
800	565	140
801	566	139
802	567	139
803	568	138
804	568	137
805	569	137
806	569	136
807	570	135
808	571	134
809	572	134
810	572	133
811	573	132
812	574	132
813	575	131
814	575	130
815	576	129
816	577	129
817	578	128
818	578	127
819	579	127
820	580	126
821	580	125
822	581	125
823	582	124
824	583	123
825	583	122
826	584	122
827	585	121
828	585	120
829	586	120
830	587	119
831	587	118
832	588	118
833	589	117
834	590	116
835	590	115
836	591	115
837	592	114
838	593	113
839	593	113
840	594	112
841	595	111
842	595	110
843	596	110
844	597	109
845	598	108
846	598	108
847	599	107
848	600	106
849	600	106
850	601	105
851	602	104
852	603	103
853	604	103
854	604	102
855	605	101
856	606	101
857	606	100
858	607	99
859	608	99
860	609	98
861	609	97
862	610	96
863	611	96
864	611	95
865	612	94
866	613	94
867	613	93
868	614	92
869	615	91
870	616	91
871	616	90
872	617	89
873	618	89
874	618	88
875	619	87
876	620	86
877	621	86
878	621	85
879	622	84
880	623	84
881	623	83
882	624	82
883	625	82
884	626	81
885	626	80
886	627	79
887	628	79
888	629	78
889	629	77
890	630	77
891	631	76
892	631	75
893	632	74
894	633	74
895	633	73
896	634	72
897	635	72
898	636	71
899	636	70
900	637	70
901	638	69
902	638	68
903	639	67
904	640	67
905	641	66
906	641	65
907	642	65
908	643	64
909	643	63
910	644	62
911	645	62
912	646	61
913	646	60
914	647	60
915	648	59
916	648	58
917	649	58
918	650	57
919	651	56
920	651	55
921	652	55
922	653	54
923	653	53
924	654	53
925	655	52
926	656	51
927	656	50
928	657	50
929	658	49
930	658	48
931	659	48
932	660	47
933	660	46
934	661	45
935	662	45
936	663	44
937	663	43
938	664	43
939	665	42
940	665	41
941	666	41
942	667	40
943	668	39
944	669	38
945	669	38
946	670	37
947	671	36
948	672	36
949	672	35
950	673	34
951	674	34
952	675	33
953	675	32
954	676	31
955	677	31
956	677	30
957	678	29
958	679	29
959	680	28
960	680	27
961	681	26
962	682	26
963	683	25
964	683	24
965	684	24
966	685	23
967	686	22
968	686	21
969	687	21
970	688	20
971	689	19
972	689	19
973	690	18
974	691	17
975	692	17
976	692	16
977	693	15
978	694	14
979	694	14
980	695	13
981	696	12
982	697	12
983	697	11
984	698	10
985	699	9
986	699	9
987	700	8
988	701	7
989	702	7
990	702	6
991	703	5
992	704	4
993	705	4
994	705	3
995	706	2
996	707	2
997	708	1
998	708	0
999	709	0
